,speed,power,crop
2018-05-18 09:50:49,8.45,0.0,0.0
2018-05-18 09:50:50,8.192,0.0,0.0
2018-05-18 09:50:51,8.009,0.0,0.0
2018-05-18 09:50:52,8.009,0.0,0.0
2018-05-18 09:50:53,8.099,0.0,0.0
2018-05-18 09:50:54,7.891,0.0,0.0
2018-05-18 09:50:55,7.748,0.0,0.0
2018-05-18 09:50:56,7.505,0.0,0.0
2018-05-18 09:50:57,7.325,0.0,0.0
2018-05-18 09:50:58,7.202,0.0,0.0
2018-05-18 09:50:59,7.107,0.0,0.0
2018-05-18 09:51:00,6.879,0.0,0.0
2018-05-18 09:51:01,6.645,10.0,0.0
2018-05-18 09:51:02,6.426,0.0,0.0
2018-05-18 09:51:03,6.331,0.0,0.0
2018-05-18 09:51:04,6.063,0.0,0.0
2018-05-18 09:51:05,6.445,0.0,0.0
2018-05-18 09:51:06,6.426,0.0,0.0
2018-05-18 09:51:07,6.426,0.0,0.0
2018-05-18 09:51:08,6.257,0.0,0.0
2018-05-18 09:51:09,6.08,0.0,0.0
2018-05-18 09:51:10,5.945,0.0,0.0
2018-05-18 09:51:11,5.817,0.0,0.0
2018-05-18 09:51:12,5.708,7.0,0.0
2018-05-18 09:51:13,5.517,0.0,0.0
2018-05-18 09:51:14,5.339,0.0,0.0
2018-05-18 09:51:15,5.326,0.0,0.0
2018-05-18 09:51:16,5.352,0.0,0.0
2018-05-18 09:51:17,5.326,0.0,0.0
2018-05-18 09:51:18,5.209,0.0,0.0
2018-05-18 09:51:19,5.209,30.0,0.0
2018-05-18 09:51:20,5.147,26.0,0.0
2018-05-18 09:51:21,5.026,0.0,0.0
2018-05-18 09:51:22,5.026,0.0,0.0
2018-05-18 09:51:23,4.889,0.0,0.0
2018-05-18 09:51:24,4.802,0.0,0.0
2018-05-18 09:51:25,4.759,0.0,0.0
2018-05-18 09:51:26,4.707,0.0,0.0
2018-05-18 09:51:27,4.666,0.0,0.0
2018-05-18 09:51:28,4.547,0.0,0.0
2018-05-18 09:51:29,4.444,0.0,0.0
2018-05-18 09:51:30,4.38,0.0,0.0
